Uber Exclude,Door-to-Door Only
201449,154754
201458,154782
201542,154810
201581,154814
201639,154842
201759,154939
201800,155094
201806,155122
201811,155133
202052,155142
202062,155240
202085,155302
202140,155311
202238,155315
202251,155446
202271,155516
202288,155610
202289,155626
202379,155744
202383,155847
202444,155903
202504,155904
202526,155952
202596,155999
202643,156082
202648,156116
202851,156120
202859,156230
202863,156243
202913,156292
202939,156468
202953,156508
203094,156510
203243,156561
203338,156597
203394,156635
203575,156857
203798,156868
203805,157061
203905,157099
203919,157249
204097,157254
204170,157257
204183,157296
204343,157423
204363,157426
204450,157486
204546,157541
204569,157551
204713,157568
204832,157573
204953,157585
205210,157647
205230,157731
205352,157824
205400,157861
205601,157863
205723,157882
205733,157888
205753,158056
205869,158213
205872,158242
205995,158281
206017,158293
206024,158391
206042,158392
206101,158456
206624,158527
206788,158555
206894,158589
206916,158650
207061,158672
207485,158708
207547,158723
207635,158790
207669,158803
207670,158813
207789,158816
207835,158934
208004,158972
208136,158979
208173,159037
208348,159043
208436,159096
208498,159097
208641,159102
208948,159148
209007,159154
209049,159175
209058,159689
209184,159830
209211,159833
209252,159860
209260,159944
209316,160096
209349,160131
209362,160152
209365,160259
209415,160290
209525,160313
209699,160404
209812,160419
209848,160510
209943,160627
209957,160638
210006,160686
210047,160705
210141,160706
210414,160809
210534,160824
210557,160852
211120,160877
211359,160928
212038,160934
212866,160943
214982,160985
,161304
,161558
,161695
,161749
,161754
,161792
,161795
,161912
,161953
,161999
,162092
,162204
,162273
,162325
,162365
,162434
,162544
,162684
,162685
,162771
,162825
,162889
,162937
,162963
,163002
,163075
,163395
,163445
,163466
,163674
,163777
,163803
,163826
,163859
,163931
,163973
,164085
,164172
,164193
,164228
,164263
,164334
,164339
,164434
,164590
,164591
,164595
,164598
,164652
,164724
,164731
,164959
,165248
,165250
,165334
,165357
,165468
,165477
,165640
,165842
,165999
,166037
,166041
,166070
,166161
,166172
,166193
,166231
,166274
,166366
,166402
,166407
,166418
,166606
,166718
,166835
,166871
,166953
,166965
,167132
,167150
,167246
,167331
,167341
,167343
,167368
,167391
,167439
,167489
,167508
,167514
,167616
,167630
,167645
,167649
,167785
,167847
,167861
,167868
,167872
,167943
,168027
,168031
,168063
,168109
,168172
,168386
,168470
,168582
,168680
,168804
,168924
,168945
,169024
,169028
,169067
,169211
,169258
,169286
,169342
,169517
,169544
,169662
,169704
,169839
,169902
,169913
,169943
,170090
,170148
,170223
,170561
,170578
,170606
,170641
,170680
,170772
,170775
,171202
,171233
,171292
,171311
,171345
,171629
,171751
,171756
,171799
,171815
,171957
,171969
,171984
,172120
,172149
,172167
,172233
,172334
,172343
,172402
,172431
,172467
,172511
,172543
,172648
,172766
,172812
,172855
,173004
,173008
,173048
,173150
,173168
,173248
,173419
,173491
,173493
,173579
,173615
,173631
,173729
,173756
,173826
,173844
,173899
,173984
,174193
,174240
,174268
,174311
,174366
,174412
,174446
,174514
,174630
,174640
,174684
,174688
,174910
,174984
,174998
,175117
,175228
,175389
,175433
,175764
,175771
,175919
,175931
,175979
,176031
,176086
,176095
,176104
,176176
,176310
,176322
,176402
,176431
,176439
,176510
,176539
,176549
,176596
,176613
,176628
,176643
,176668
,176688
,176744
,176865
,176927
,176933
,177050
,177059
,177078
,177100
,177113
,177165
,177178
,177293
,177441
,177475
,177622
,177667
,177696
,177708
,177854
,177957
,177958
,177974
,177986
,178028
,178110
,178165
,178180
,178244
,178265
,178606
,178639
,178641
,178657
,178659
,178660
,178663
,178692
,178856
,178912
,178934
,178979
,178991
,179307
,179310
,179327
,179482
,179494
,179709
,179794
,179821
,179918
,180048
,180072
,180148
,180151
,180270
,180329
,180379
,180395
,180433
,180437
,180479
,180492
,180575
,180725
,180858
,180900
,180917
,180960
,181049
,181079
,181139
,181198
,181260
,181265
,181271
,181272
,181397
,181502
,181620
,181626
,181758
,181864
,181900
,181933
,182084
,182172
,182287
,182363
,182377
,182391
,182473
,182500
,182697
,182806
,182881
,182891
,182984
,183045
,183103
,183171
,183334
,183374
,183686
,183719
,183822
,183859
,183915
,184006
,184013
,184064
,184126
,184177
,184182
,184271
,184361
,184393
,184429
,184468
,184584
,184624
,184637
,184686
,184693
,184717
,184754
,184984
,185053
,185100
,185250
,185341
,185361
,185375
,185381
,185463
,185567
,185608
,185644
,185670
,185823
,186098
,186110
,186148
,186178
,186231
,186252
,186256
,186314
,186358
,186388
,186395
,186429
,186498
,186542
,186554
,186624
,186632
,186667
,186696
,186704
,186719
,186730
,186738
,186747
,186821
,186923
,186942
,187007
,187045
,187054
,187085
,187251
,187276
,187295
,187310
,187340
,187402
,187435
,187438
,187464
,187510
,187556
,187571
,187586
,187590
,187639
,187683
,187729
,187790
,187791
,187806
,187883
,187919
,188035
,188110
,188123
,188148
,188176
,188240
,188246
,188388
,188411
,188420
,188429
,188457
,188469
,188526
,188548
,188569
,188589
,188595
,188688
,188706
,188709
,188714
,188729
,188780
,188787
,188789
,188803
,188879
,188880
,188900
,188929
,188974
,188998
,189036
,189049
,189055
,189087
,189094
,189151
,189152
,189166
,189168
,189200
,189228
,189254
,189262
,189336
,189386
,189400
,189414
,189420
,189470
,189489
,189517
,189521
,189537
,189552
,189555
,189565
,189571
,189629
,189636
,189649
,189650
,189694
,189702
,189760
,189826
,189829
,189910
,189940
,190039
,190067
,190178
,190300
,190330
,190402
,190432
,190452
,190456
,190589
,190655
,190733
,190764
,190778
,190820
,190852
,190896
,190918
,190976
,191037
,191054
,191055
,191058
,191102
,191107
,191150
,191199
,191245
,191294
,191298
,191324
,191329
,191330
,191332
,191334
,191341
,191349
,191373
,191374
,191416
,191463
,191477
,191504
,191514
,191552
,191561
,191562
,191565
,191583
,191610
,191723
,191731
,191738
,191740
,191890
,191916
,192035
,192042
,192100
,192121
,192126
,192134
,192180
,192225
,192229
,192247
,192281
,192286
,192310
,192325
,192330
,192374
,192376
,192421
,192494
,192507
,192536
,192542
,192554
,192636
,192648
,192666
,192728
,192753
,192874
,192896
,192930
,193035
,193037
,193076
,193105
,193150
,193152
,193172
,193193
,193199
,193201
,193205
,193280
,193337
,193339
,193553
,193570
,193591
,193649
,193669
,193741
,193815
,193828
,193885
,193920
,193972
,194036
,194081
,194123
,194140
,194164
,194168
,194171
,194186
,194187
,194195
,194232
,194399
,194418
,194477
,194502
,194532
,194601
,194620
,194664
,194681
,194683
,194781
,194790
,194849
,194853
,194880
,194902
,194936
,194972
,194997
,195021
,195088
,195107
,195123
,195139
,195176
,195194
,195206
,195239
,195244
,195247
,195261
,195265
,195294
,195378
,195452
,195455
,195475
,195539
,195562
,195571
,195579
,195610
,195613
,195662
,195667
,195686
,195706
,195770
,195827
,195887
,196017
,196020
,196023
,196059
,196187
,196279
,196289
,196384
,196417
,196447
,196458
,196465
,196483
,196489
,196532
,196616
,196624
,196632
,196705
,196730
,196731
,196733
,196763
,196780
,196795
,196798
,196807
,196869
,196900
,196916
,196959
,197078
,197096
,197107
,197166
,197245
,197246
,197257
,197282
,197334
,197455
,197660
,197689
,197800
,197847
,197890
,197930
,197969
,198006
,198103
,198108
,198113
,198150
,198171
,198263
,198416
,198419
,198430
,198438
,198440
,198493
,198494
,198496
,198592
,198613
,198654
,198671
,198710
,198730
,198804
,198840
,198873
,199087
,199098
,199271
,199305
,199343
,199525
,199551
,199560
,199626
,199673
,199796
,199800
,199887
,199899
,199971
,200029
,200031
,200074
,200106
